llave;y_auto_cura
1;1
3;0
4;0
6;0
7;0
8;1
10;0
11;1
13;0
14;0
16;0
18;0
19;1
21;1
23;1
24;1
25;1
28;1
29;1
30;1
31;1
32;1
33;1
35;1
39;0
40;0
41;0
42;1
43;1
46;1
48;1
50;0
51;1
55;0
56;1
57;0
58;0
59;1
60;1
61;1
63;1
65;0
66;0
67;1
70;0
75;0
78;0
81;1
87;1
88;1
89;1
93;0
94;1
95;1
96;1
97;1
99;1
100;1
101;1
103;1
104;1
105;1
106;1
107;1
108;1
109;1
111;1
114;1
116;1
119;0
120;0
121;1
122;0
124;0
125;0
126;1
127;1
129;1
130;1
131;1
132;1
133;1
134;1
136;1
138;1
141;1
142;0
143;0
144;1
145;1
147;1
148;1
149;1
152;1
153;1
154;1
155;1
157;1
160;1
163;1
164;1
165;1
169;1
170;1
171;1
177;1
182;1
184;1
185;1
187;1
189;0
190;1
192;1
195;1
206;0
210;1
211;1
215;1
218;1
219;1
224;1
225;1
226;1
227;1
229;1
231;1
234;1
235;0
237;1
238;0
241;1
242;0
243;0
245;0
246;0
249;0
250;0
251;0
252;0
254;1
259;1
260;1
261;1
262;1
265;1
266;1
267;1
268;1
271;1
278;0
280;0
282;0
291;1
293;1
295;1
299;1
302;1
304;1
305;1
306;1
312;1
313;1
314;1
319;1
321;1
322;1
324;1
326;0
329;1
331;1
334;1
338;1
342;1
344;1
345;1
348;1
350;1
357;1
359;1
362;1
364;1
365;1
366;1
369;1
371;0
372;0
373;0
374;0
377;1
378;1
383;1
384;1
385;1
386;1
387;1
390;0
391;1
395;1
398;1
400;1
404;1
407;1
411;1
412;1
413;1
414;1
415;1
420;1
422;1
423;0
424;0
425;1
428;0
433;0
435;0
436;0
437;0
438;0
440;1
441;1
444;1
450;1
452;1
456;1
461;1
462;1
465;1
467;1
468;1
476;1
479;1
480;1
482;1
483;1
484;1
485;1
487;1
488;1
489;1
490;1
492;1
493;1
495;1
497;1
498;1
500;1
504;1
505;1
506;0
508;0
509;0
511;0
512;0
515;1
516;0
517;1
520;1
524;1
525;1
530;0
533;1
534;0
537;0
539;1
540;1
541;0
543;1
546;1
547;1
549;1
551;1
552;1
553;1
554;1
556;1
557;1
558;0
559;1
562;0
563;0
564;1
568;1
572;1
574;1
576;1
577;1
578;1
581;1
583;1
585;1
586;1
590;1
592;1
593;1
601;1
606;1
607;1
609;1
613;0
614;0
615;0
616;1
619;1
620;1
621;1
622;1
628;1
629;1
632;1
633;0
635;0
636;1
638;1
640;1
642;1
643;1
645;1
649;1
650;0
653;1
654;1
656;1
657;1
658;1
661;1
662;1
664;1
668;1
669;0
671;1
673;0
675;1
676;1
677;1
680;1
681;0
683;1
685;0
687;1
688;0
689;0
690;1
691;1
694;1
695;1
696;1
702;0
703;1
704;1
706;0
707;0
708;1
709;1
710;0
713;0
715;1
717;0
720;1
721;0
723;1
724;1
727;0
729;1
730;1
732;1
733;0
734;1
736;1
738;0
739;1
746;1
749;1
750;1
752;1
756;1
757;0
761;0
764;1
765;1
774;0
775;1
778;1
781;0
784;0
785;0
787;0
788;0
790;0
792;0
794;0
795;0
798;1
799;1
802;1
803;1
804;1
807;1
810;1
811;1
813;1
815;0
816;1
817;1
818;1
819;1
820;1
821;1
822;0
824;1
826;1
827;0
830;1
831;1
836;1
837;1
838;1
840;1
841;1
843;1
844;1
849;1
852;1
853;1
854;1
855;1
858;1
862;1
865;1
868;1
869;1
871;1
873;1
876;1
878;1
883;1
884;1
885;1
886;1
887;1
893;0
894;1
898;1
901;1
902;1
906;1
907;1
912;1
913;1
914;1
915;0
917;1
920;0
921;0
924;1
925;1
926;1
927;1
928;1
930;1
931;0
934;1
939;0
941;0
943;1
944;1
949;1
950;1
951;1
954;1
956;0
961;1
962;1
966;0
967;0
968;0
969;0
970;1
973;1
974;1
975;1
977;1
980;1
984;1
986;1
988;1
991;0
993;1
994;1
995;1
998;0
1000;0
1005;1
1008;1
1009;1
1011;0
1012;1
1013;1
1014;0
1020;1
1021;1
1022;0
1024;1
1027;1
1028;1
1030;1
1031;1
1033;1
1035;1
1036;1
1044;1
1049;1
1052;1
1059;1
1061;1
1067;1
1068;1
1071;1
1073;1
1075;0
1076;1
1077;1
1080;0
1082;1
1083;1
1085;0
1086;1
1088;1
1092;1
1093;1
1095;1
1096;1
1098;1
1099;1
1107;1
1108;1
1110;1
1111;0
1112;0
1114;1
1118;0
1120;0
1122;0
1123;1
1125;0
1127;1
1129;0
1132;1
1133;0
1134;1
1135;0
1137;1
1139;0
1140;1
1142;1
1144;1
1145;1
1147;1
